,OBJECTID,PEC_ID,Locality,Name,Owner_Applicant,Street_Address,Parcel_ID,Acres,Building_Sq_Ft,MW_reported,Construction_Type,Build_Status,Notes,Tax_Map_link,Source_link,Lat,Long,Date_Updated,Updated_By,Lat1,Watershed,x,y
425,497,PEC-PIT-0003,Pittsylvania County,Southern Virginia Megasite at Berry Hill,STACK INFRASTRUCTURE,3312 BERRY HILL RD,1367-30-1931,2990.0,,,New,Proposed,"Includes more than one parcel, total acreage represented",https://keyweb.pittgov.net/WebPAAS/?DEST=pDetail&pKEY=(1367-30-1931),https://cardinalnews.org/2026/03/10/73-billion-project-at-pittsylvania-megasite-would-be-largest-in-southside-history/?utm_source=ActiveCampaign&utm_medium=email&utm_content=%2473%20billion%20project%20at%20Pittsylvania%20megasite%20would%20be%20largest%20in%20Southside%20history&utm_campaign=Wednesday%2C%20March%2011%2C%202026,36.57302892,-79.57656306,2026-03-19,SEP,36.57302892,,-8858422.4789,4379758.456900001
426,498,PEC-CAR-0013,Caroline County,SAC III,STACK INFRASTRUCTURE,WC Spratt Dr,83-A-83B1,95.4,1500000,,New,Proposed,,,https://co.caroline.va.us/AgendaCenter/ViewFile/Item/7389?fileID=11579,37.95378272,-77.41756794,2026-03-19,SEP,37.95378272,,-8618084.2415,4572898.917000003
427,500,PEC-PWM-0092,Prince William County,Wellington Glen Parcel K,WELLINGTON GLEN PHASE 2 LLC,8881 MIKE GARCIA DR,7596-62-9148.00,46.39,1801693,,New,Proposed,,https://pwc.publicaccessnow.com/PropertyDetail.aspx?mtab=property&mpropertynumber=251029#,https://eservice.pwcgov.org/planning/documents/REZ2021-00014.pdf,38.76257529,-77.53699821,2026-03-19,SEP,38.76257529,,-8631379.1584,4687719.3565
428,501,PEC-LOU-0003,Louisa County,Shannon Hill Regional Business Park,Edgecore,"Between Parrish Rd and Shannon Hill Road, North of 66",79 35,697.0,3900000,1100.0,New,Proposed,This project covers multiple parcels. The total acreage has been represented here.,https://www.louisacounty.gov/DocumentCenter/View/11955/Data-Centers-in-Louisa-County,https://edgecore.com/new-louisa-county-virginia-data-center-campus/,37.9021336,-78.02342305,2026-03-20,SEP,37.9021336,,-8685527.7239,4565609.782899998
429,502,PEC-CAR-0004,Caroline County,Airlee Industrial and Data Center Site,AIRLEE DEVELOPMENT LLC,"Intersection of Rt. 1 and CCC Road, Ruther Glen, VA 22546",68-1-2,184.4,1500000,,New,Proposed,"Project covers more than one parcel, the acreage represents the combined acreage",,https://sites.vedp.org/virginia/propertyid/286091,37.99737406,-77.50243069,2025-07-16,SEP,37.99737406,,-8627531.1197,4579054.862300001
430,503,PEC-CAR-0005,Caroline County,ADP Ladysmith Data Hub,GOOD EARTH HORTICULTURE INC,"18577 GREEN RD, RUTHERFORD",53-A-65,140.38,1600000,,New,Proposed,,,https://co.caroline.va.us/DocumentCenter/View/10347/RZ-02-2025-SPEX-06-2025-Ladysmith-Data-Hub?bidId=,38.00432777,-77.50444772,2025-07-16,SEP,38.00432777,,-8627755.6544,4580037.199699998
431,504,PEC-CAR-0006,Caroline County,Caroline Center for Innovation,CARNEAL MELISSA W,23286 CARNEAL LN,84-A-6,278.28,3000000,,New,Proposed,"Project covers more than one parcel, the acreage represents the combined acreage",,https://co.caroline.va.us/DocumentCenter/View/10157/RZ-01-2025-Caroline-Ctr-for-Innovation,37.94278155,-77.41626512,2025-07-16,SEP,37.94278155,,-8617939.2123,4571345.9152000025
432,505,PEC-CAR-0007,Caroline County,Carmel Technology & Enterprise Center,Q-FIVE INC,"Jericho Road, west of the intersection 
of Jericho Road, Rogers Clark Blvd. & U.S. Route 1",81-A-67,1196.3,5600000,,New,Proposed,"Project covers more than one parcel, the acreage represents the combined acreage",,https://co.caroline.va.us/DocumentCenter/View/9994/RZ-06-2024-Luck-Stone-CTEC,37.92402741,-77.50552689,2025-07-16,SEP,37.92402741,,-8627875.7871,4568698.986100003
433,506,PEC-CAR-0008,Caroline County,Bull Church Data Center,"Mid Atlantic State Fund, LLC","Bull Church Road, east of I-95 near the Ladysmith interchange",53-A-66,87.53,792000,,New,Proposed,,,https://co.caroline.va.us/DocumentCenter/View/9793/RZ-04-2024--Bull-Church-Data-Center,38.00912618,-77.49330877,2025-07-16,SEP,38.00912618,,-8626515.6722,4580715.116300002
434,507,PEC-CAR-0009,Caroline County,Thornberry Data Center Campus,"Thornberry, LLC",23202 Carneal Lane,84-A-1,1001.5,3300000,,New,Proposed,Property straddles CSX railroad line,,https://co.caroline.va.us/DocumentCenter/View/10426/RZ-03-2025-Thornberry-LLC-Reedy-Church,37.95415988,-77.40685693,2025-07-16,SEP,37.95415988,,-8616891.8974,4572952.163699999
435,508,PEC-CAR-0010,Caroline County,Caroline Center for Innovation - North,"CCCII CDEFG, LLC, Owner","13039 Mickey's Wy, Ruther Glen, VA 22546",83-A-83B1,95.4,1500000,,New,Proposed,,,https://co.caroline.va.us/DocumentCenter/View/10428/SPEX-08-2025-Caroline-Ctr-for-Innov-North---Reedy-Church,37.95118965,-77.42421144,2025-07-16,SEP,37.95118965,,-8618823.7926,4572532.840300001
436,509,PEC-CAR-0011,Caroline County,Ladysmith Technology Park,"Mattan Ladysmith, LLC","Ladysmith Road, northwest of I-95 & Ladysmith Road Intersection",52-A-129,164.61,1684480,,New,Proposed,,,https://co.caroline.va.us/DocumentCenter/View/10114/SP-26-2024--Ladysmith-Tech-Park--Port-Royal,38.02690167,-77.50431334,2025-07-17,SEP,38.02690167,,-8627740.6953,4583226.813900001
437,510,PEC-LDN-0056A,Loudoun County,IAD3 Evoque Cyxtera,22995 WILDER COURT LLC,22995 WILDER CT,46368231000,0.0,130400,,Complete,Existing,"Shown as ""Storage Warehouse""",https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=046368231000&jur=107&taxyr=2024&LMparent=20,,38.98105939,-77.44433907,2026-01-09,SEP,38.98105939,,-8621064.3901,4718958.855700001
